word,homestuck_prop,unigram_prop,ratio,homestuck_count,unigram_count
nubby,1.0662219e-05,7.4892342e-08,142.367,9,44046
suckas,7.1081457e-06,4.9974136e-08,142.236,6,29391
leist,5.9234547e-06,4.1744582e-08,141.898,5,24551
nyon,1.4216291e-05,1.0054849e-07,141.387,12,59135
llow,5.9234547e-06,4.2052341e-08,140.859,5,24732
purpos,3.5540728e-06,2.5319481e-08,140.369,3,14891
crowbar,5.9234547e-05,4.2353297e-07,139.858,50,249090
codpiece,7.1081457e-06,5.0904212e-08,139.638,6,29938
jittering,3.5540728e-06,2.5487813e-08,139.442,3,14990
hephaestus,1.0662219e-05,7.6596063e-08,139.201,9,45048
becquerel,1.0662219e-05,7.6793301e-08,138.843,9,45164
rufio,3.0801965e-05,2.2203983e-07,138.723,26,130587
welp,1.30316e-05,9.4731688e-08,137.563,11,55714
wriggling,1.7770364e-05,1.2924821e-07,137.49,15,76014
trolled,3.3171347e-05,2.4401818e-07,135.938,28,143513
aked,3.5540728e-06,2.6380481e-08,134.724,3,15515
blubbering,7.1081457e-06,5.2895288e-08,134.381,6,31109
uild,4.7387638e-06,3.5319069e-08,134.17,4,20772
ntent,3.5540728e-06,2.6516507e-08,134.032,3,15595
mattering,3.5540728e-06,2.6740949e-08,132.908,3,15727
aiid,5.9234547e-06,4.4640229e-08,132.693,5,26254
rrk,3.5540728e-06,2.685147e-08,132.36,3,15792
rping,5.9234547e-06,4.4794958e-08,132.235,5,26345
awes,3.5540728e-06,2.6905881e-08,132.093,3,15824
ahaha,1.6585673e-05,1.2560102e-07,132.05,14,73869
shitheads,3.5540728e-06,2.6931385e-08,131.968,3,15839
ticed,3.5540728e-06,2.7028304e-08,131.494,3,15896
rumpus,2.6063201e-05,1.9840876e-07,131.361,22,116689
godawful,8.2928366e-06,6.3653219e-08,130.281,7,37436
whod,3.5540728e-06,2.7279951e-08,130.281,3,16044
hould,8.2928366e-06,6.4040893e-08,129.493,7,37664
modus,0.000130316,1.0080762e-06,129.272,110,592874
guessin,3.5540728e-06,2.7519696e-08,129.147,3,16185
trolls,0.00019784339,1.532127e-06,129.13,167,901081
hitcher,9.4775276e-06,7.3583094e-08,128.8,8,43276
lalonde,4.3833565e-05,3.410317e-07,128.532,37,200569
fieri,4.7387638e-06,3.6941175e-08,128.279,4,21726
cosmically,3.5540728e-06,2.7788347e-08,127.898,3,16343
scrawling,4.7387638e-06,3.7121409e-08,127.656,4,21832
jake,0.0013742415,1.0773018e-05,127.563,1160,6335873
njoy,4.7387638e-06,3.7237031e-08,127.259,4,21900
humoring,3.5540728e-06,2.8046796e-08,126.719,3,16495
bimp,3.5540728e-06,2.8147115e-08,126.268,3,16554
iim,5.2126402e-05,4.1580671e-07,125.362,44,244546
abjure,5.9234547e-06,4.7433857e-08,124.878,5,27897
rancorous,7.1081457e-06,5.7210703e-08,124.245,6,33647
istence,3.5540728e-06,2.870312e-08,123.822,3,16881
forg,1.5400982e-05,1.2460463e-07,123.599,13,73283
cueball,7.1081457e-06,5.7537164e-08,123.54,6,33839
etter,5.5680475e-05,4.5454513e-07,122.497,47,267329
depre,3.5540728e-06,2.9058487e-08,122.308,3,17090
pcg,0.00040397961,3.3463968e-06,120.721,341,1968097
clownish,4.7387638e-06,3.9432146e-08,120.175,4,23191
ingratiating,7.1081457e-06,5.915247e-08,120.167,6,34789
troll,0.00042411936,3.535248e-06,119.969,358,2079165
messiahs,1.1846909e-05,9.9150822e-08,119.484,10,58313
hrmmm,3.5540728e-06,2.9866139e-08,119,3,17565
rief,1.0662219e-05,9.0654318e-08,117.614,9,53316
ppy,5.9234547e-06,5.1064042e-08,116.001,5,30032
cagey,1.30316e-05,1.1307815e-07,115.244,11,66504
prattling,4.7387638e-06,4.1171574e-08,115.098,4,24214
underlings,1.4216291e-05,1.2395851e-07,114.686,12,72903
ciety,8.2928366e-06,7.234016e-08,114.637,7,42545
doofus,1.6585673e-05,1.4537065e-07,114.092,14,85496
nks,1.4216291e-05,1.2462333e-07,114.074,12,73294
idolizing,3.5540728e-06,3.1163484e-08,114.046,3,18328
nincompoop,5.9234547e-06,5.216415e-08,113.554,5,30679
hiip,3.5540728e-06,3.1309712e-08,113.513,3,18414
